LakeNum,CAISNID,PlanktivS,PiscivS,INVERT
11,06-016,1,2,0
14,05-306,3,4,5
15,06-216,1,3,5
19,05-299,1,0,6
20,06-113,0,1,7
23,06-011,1,2,2
24,06-010,1,0,3
25,06-217,1,1,5
27,06-006,1,2,0
28,06-252,3,2,11
29,06-118,0,0,1
31,06-048,0,1,3
33,05-297,1,4,5
34,06-015,2,5,2
36,06-023,0,1,0
38,06-060,2,2,3
39,06-033,1,2,1
40,05-342,0,1,2
41,06-121,2,1,12
43,06-013,1,3,6
95,06-019,1,2,4
97,06-125,1,1,7
99,06-249,2,3,6
101,06-081,1,0,1
103,06-127,0,0,7
104,06-104,0,1,1
107,06-258,2,2,4
108,06-083,1,1,0
109,06-038,2,1,0
110,06-128,0,1,5
111,05-334,0,0,0
115,06-228,1,1,9
116,06-042,2,1,6
117,06-185,2,3,6
119,06-059,0,2,0
120,06-105,1,1,8
121,06-107,0,1,10
124,06-131,1,1,6
126,06-186,1,1,0
127,06-065,2,3,0
131,06-132,2,1,9
134,06-028,1,2,3
137,06-003,2,3,1
138,06-134,2,1,12
139,06-051,1,2,2
145,06-177,0,1,8
148,06-108,1,1,6
151,06-045,0,2,0
152,06-137,1,0,7
154,06-189,1,1,4
157,06-053,1,1,0
160,06-229,1,1,5
163,06-209,1,4,10
164,06-184,1,0,5
166,06-037,2,0,2
167,06-138,1,2,10
168,06-139,1,1,5
169,06-005,2,2,2
171,06-210,1,3,7
172,06-030,1,0,3
174,06-052,1,2,0
175,06-007,2,1,6
176,05-275,1,3,0
177,06-263,2,2,9
179,06-236,1,1,5
181,05-327,2,3,2
182,06-017,0,0,0
184,06-140,0,1,9
185,06-014,1,1,0
186,06-031,2,2,0
187,06-175,2,5,8
189,06-141,1,2,9
193,06-142,1,1,1
194,06-143,2,1,6
197,05-349,0,0,1
198,06-264,0,0,4
200,06-254,1,1,6
202,06-269,0,0,6
204,05-322,1,3,3
206,05-298,2,2,1
208,06-144,0,1,7
210,06-056,1,0,2
212,06-096,1,1,6
215,06-097,0,0,4
216,06-148,2,1,4
217,05-360,1,3,6
219,06-182,3,0,8
220,06-150,1,3,8
221,06-098,1,2,0
222,06-054,1,2,6
224,06-109,0,0,6
226,05-295,0,1,0
229,06-099,1,0,1
235,06-153,1,2,10
236,06-040,1,2,3
239,06-232,1,2,5
241,06-029,0,0,3
243,06-026,0,1,2
249,05-296,1,1,6
251,06-273,1,2,11
252,06-066,2,0,6
253,06-223,1,0,7
255,05-319,1,2,0
258,06-036,0,2,0
260,05-293,1,2,6
262,06-041,2,3,1
264,06-001,3,2,3
266,06-156,2,1,2
267,06-095,1,0,2
268,06-034,1,1,1
272,06-274,1,1,9
273,06-047,0,1,2
276,06-027,4,2,0
278,06-158,1,2,11
279,06-261,0,1,6
285,06-159,1,3,4
286,06-199,1,2,4
290,06-160,1,1,11
291,06-212,1,1,2
292,05-309,1,2,1
293,05-335,0,1,3
294,06-064,3,2,4
296,06-162,1,0,6
297,05-355,1,2,3
299,06-110,0,0,1
300,06-050,1,1,0
301,06-163,1,0,5
304,06-245,3,2,5
305,06-250,2,3,0
306,06-046,1,2,1
309,06-164,1,3,7
310,06-165,1,1,4
312,06-055,2,2,5
313,06-103,0,0,7
315,06-224,1,1,2
316,06-266,1,1,10
320,05-328,1,2,1
323,05-312,2,1,3
324,05-317,0,0,0
327,06-116,1,2,11
328,06-168,3,2,6
330,05-361,2,2,6
331,05-300,0,0,1
333,06-214,1,1,5
335,06-057,0,1,7
337,06-176,1,3,6
339,06-049,1,1,5
341,06-198,2,3,5
345,06-008,1,0,0
346,06-172,2,0,5
349,06-039,0,1,1
351,06-061,1,1,1
352,06-124,1,0,6
353,06-174,2,1,9
354,05-348,1,3,2
357,06-025,2,1,1
